,Unnamed: 0,recording id,timestamp [ns],name,type,wearer_name,has_corruption,door_sequence,matter_duration,life_duration,thought_duration,p1_duration,p2_duration,p3_duration,p4_duration,p5_duration,p6_duration,p7_duration,phone_pickups,phone_duration,overall_duration
0,0,b5cff087-0b53-499e-997d-05af39002d55,1695733480308000000,recording.begin,recording,D01-P010,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:01:57.866622,0 days 00:01:14.397229,0 days 00:12:32.545630,,,,,,,,,,0 days 00:20:09.907000
1,1,b5cff087-0b53-499e-997d-05af39002d55,1695733580411684000,exterior21.begin,cloud,D01-P010,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:01:57.866622,0 days 00:01:14.397229,0 days 00:12:32.545630,,,,,,,,,,0 days 00:20:09.907000
2,2,b5cff087-0b53-499e-997d-05af39002d55,1695733640648304000,exterior21.end,cloud,D01-P010,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:01:57.866622,0 days 00:01:14.397229,0 days 00:12:32.545630,,,,,,,,,,0 days 00:20:09.907000
3,3,b5cff087-0b53-499e-997d-05af39002d55,1695733664728872000,matter1.begin,cloud,D01-P010,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:01:57.866622,0 days 00:01:14.397229,0 days 00:12:32.545630,,,,,,,,,,0 days 00:20:09.907000
4,4,b5cff087-0b53-499e-997d-05af39002d55,1695733664728872000,d1.in,cloud,D01-P010,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:01:57.866622,0 days 00:01:14.397229,0 days 00:12:32.545630,,,,,,,,,,0 days 00:20:09.907000
5,5,b5cff087-0b53-499e-997d-05af39002d55,1695733782595494000,matter1.end,cloud,D01-P010,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:01:57.866622,0 days 00:01:14.397229,0 days 00:12:32.545630,,,,,,,,,,0 days 00:20:09.907000
6,6,b5cff087-0b53-499e-997d-05af39002d55,1695733782595494000,d2.out,cloud,D01-P010,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:01:57.866622,0 days 00:01:14.397229,0 days 00:12:32.545630,,,,,,,,,,0 days 00:20:09.907000
7,7,b5cff087-0b53-499e-997d-05af39002d55,1695733801832331000,life1.begin,cloud,D01-P010,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:01:57.866622,0 days 00:01:14.397229,0 days 00:12:32.545630,,,,,,,,,,0 days 00:20:09.907000
8,8,b5cff087-0b53-499e-997d-05af39002d55,1695733801832331000,d3.in,cloud,D01-P010,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:01:57.866622,0 days 00:01:14.397229,0 days 00:12:32.545630,,,,,,,,,,0 days 00:20:09.907000
9,9,b5cff087-0b53-499e-997d-05af39002d55,1695733876229560000,life1.end,cloud,D01-P010,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:01:57.866622,0 days 00:01:14.397229,0 days 00:12:32.545630,,,,,,,,,,0 days 00:20:09.907000
