,recording id,wearer_name,has_corruption,door_sequence,matter_duration,life_duration,thought_duration,p1_duration,p2_duration,p3_duration,p4_duration,p5_duration,p6_duration,p7_duration,phone_pickups,phone_duration,overall_duration
0,b5cff087-0b53-499e-997d-05af39002d55,D01-P010,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:01:57.866622,0 days 00:01:14.397229,0 days 00:12:32.545630,0,0,0,0,0,0,0,0.0,0,0 days 00:20:09.907000
1,0ca2b022-aee7-4299-a2a1-f70663e48628,D03-P011,False,"d1.in,d2.out,d3.in,d4.out,d6.in,d6.out",0 days 00:01:38.328851,0 days 00:03:02.418749,0 days 00:07:42.681755,0,0,0,0 days 00:01:31.444565,0 days 00:00:49.010874,0,0,5.0,0 days 00:02:26.922757,0 days 00:17:18.830000
2,5459d7cb-ad76-41b5-8547-78d0993ce78b,D03-P012,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:02:43.612596,0 days 00:06:34.444864,0 days 00:02:12.322145,0,0,0,0,0,0,0,8.0,0 days 00:01:32.974840,0 days 00:16:00.290000
3,d954354a-0daf-434e-b34d-fba86285e06d,D01-P011,False,"d1.in,d2.out,d3.in,d3.out,d3.in,d4.out,d6.in,d5.out",0 days 00:01:21.307438,0 days 00:01:30.655332,0 days 00:06:32.781681,0 days 00:04:16.418408,0 days 00:01:10.842014,0,0 days 00:00:08.413742,0,0,0,5.0,0 days 00:01:35.651010,0 days 00:19:53.243000
4,b726709d-b664-48c0-8161-0b5b8533d84b,D05-P013,False,"d1.in,d2.out,d3.in,d4.out,d6.in,d5.out",0 days 00:01:24.796128,0 days 00:05:28.292208,0 days 00:05:12.211928,0 days 00:00:36.183004,0,0,0 days 00:00:55.226232,0,0,0,0.0,0,0 days 00:17:04.780000
5,f40c32e2-0a77-4196-9936-64710274c8df,D03-P013,False,"d1.in,d2.out,d3.in,d4.out,d6.in,d6.out",0 days 00:03:43.710112,0 days 00:07:42.575636,0 days 00:07:50.525324,0,0 days 00:01:00.905252,0,0 days 00:00:39.204404,0,0,0,5.0,0 days 00:09:21.742888,0 days 00:25:56.444000
6,a8cceb5f-cd37-457a-999f-cf413d506956,D05-P014,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:02:25.938904,0 days 00:04:36.060548,0 days 00:03:33.696582,0,0,0,0,0,0,0,4.0,0 days 00:02:08.624176,0 days 00:11:39.740000
7,46769913-7db3-4ef7-8a61-2c1af05f682d,D01-P012,False,"d1.in,d2.out,d3.in,d4.out,d3.in,d4.out,d5.in,d6.out",0 days 00:01:52.331380,0 days 00:04:55.857710,0 days 00:03:34.773984,0,0,0,0,0 days 00:02:24.831812,0,0,2.0,0 days 00:02:12.876348,0 days 00:22:58.232000
8,99676722-0eca-488c-a35f-c755d50ab75c,D05-P015,False,"d4.in,d4.out,d6.in,d6.out",0,0 days 00:03:31.830212,0 days 00:09:04.920936,0,0,0 days 00:02:33.720036,0,0,0,0 days 00:00:18.655378,8.0,0 days 00:06:51.714932,0 days 00:20:55.566000
9,c82002ba-afe9-445e-90cc-97493a0461fd,D02-P015,False,"d1.in,d2.out,d3.in,d4.out,d5.in,d6.out",0 days 00:00:57.804369,0 days 00:03:22.837652,0 days 00:11:33.469900,0,0,0,0,0,0,0,5.0,0 days 00:02:26.171376,0 days 00:18:29.075000
