ID,Start time,Completion time,Email,Name,Last modified time,Participant ID,Cube of Matter (Cube 1):,Cube of Life (Cube 2):,Thought Cube (Cube 3):,Cube of Matter 2(Cube 1):,Cube of Life 2(Cube 2):,Thought Cube 2(Cube 3):,Admiration,Confusion,Haunt,Disorientation,Amazement,Fascination,Amazing,Curiosity,Perplexity,"I felt a closer sense of identity, of who I am.",I felt a psychological connection to everyone/everything around me.,I felt a physical connection to everyone/everything around me.,Everything seemed to be connected.,I experienced a feeling of confinement.,I experienced a feeling of oppression.,I experienced a feeling of tension.,My heart was racing.,It took my breath away.,I felt chills.,I felt physically smaller.,"I felt trivial, in the grand scheme of things.",The world seemed vast.,What did you learn about during your visit?,Is this your first time visiting the Museum of Tomorrow?,"If not, how many times have you visited us previously?","Did you watch the movie Cosmos, projected onto the sphere?",How many people accompanied you on this visit?,Would you like to visit the museum again in the future?,Would you recommend the museum to your friends and family?,Age group,Gender,Which racial group do you identify with?,Do you have any disabilities?,What disability do you have?,Do you have children? ,Where do you live?,Would you like to share something more about your visit or your experience today?
12,2023-09-25 21:54:11,2023-09-25 22:07:35,anonymous,,,D05.p009,,,,,,,3,5,6,7,3,7,4,3,6,1,4,3,2,3,5,5,3,3,3,3,3,5,Sustentabilidade;Biodiversidade;,Sim,,Sim,,Não,Não,31-59 anos,Masculino,Outro,,,Não,Cidade do Rio,
14,2023-09-26 16:11:42,2023-09-26 16:16:28,anonymous,,,D05_p001,4.0,4.0,3.0,3.0,5.0,4.0,5,3,4,3,3,3,4,5,2,3,2,4,3,4,2,2,3,2,1,1,1,2,Sustentabilidade;,Não,2,Sim,1 pessoa,Sim,Sim,19-30 anos,Feminino,Amarelo,Sim,Outra,Não,Cidade do Rio,
15,2023-09-26 16:34:00,2023-09-26 16:57:43,anonymous,,,D03_p011,8.0,3.0,6.0,5.0,7.0,7.0,8,3,3,4,8,8,6,7,4,1,5,1,4,1,1,2,5,5,3,6,5,7,Diversidade Cultural ;,Sim,,Sim,1 pessoa,Sim,Sim,31-59 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,
16,2023-09-26 16:33:48,2023-09-26 16:59:12,anonymous,,,D03_p0010,8.0,4.0,8.0,5.0,4.0,8.0,8,1,1,1,8,8,7,8,6,7,7,5,7,1,1,1,1,2,1,3,5,7,Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,1 pessoa,Sim,Sim,31-59 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,"Foi uma das experiencias mais incriveis que ja vivi
"
17,2023-09-26 16:59:30,2023-09-26 17:19:56,anonymous,,,D03_p012,7.0,7.0,7.0,7.0,7.0,7.0,8,1,5,5,7,7,5,6,6,5,6,6,7,7,5,5,3,3,3,7,1,6,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Não,2 pessoas,Sim,Sim,19-30 anos,Feminino,Pardo,Não,,Não,Cidade do Rio,Adorei a esperiencia 
18,2023-09-26 17:19:10,2023-09-26 17:24:59,anonymous,,,D05_p013,4.0,6.0,8.0,3.0,5.0,7.0,5,2,5,2,5,5,5,7,6,5,3,4,6,2,2,4,1,1,1,2,7,6,Diversidade Cultural ;,Não,1,Não,1 pessoa,Sim,Sim,31-59 anos,Masculino,Branco,Não,,Não,Cidade do Rio,
19,2023-09-26 17:00:56,2023-09-26 17:25:06,anonymous,,,	D05.p0010,6.0,8.0,8.0,5.0,7.0,8.0,8,1,1,1,8,8,7,8,8,7,7,5,7,5,1,1,1,1,5,7,5,7,Diversidade Cultural ;Biodiversidade;,Sim,,Sim,1 pessoa,Sim,Sim,19-30 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,Admirei muito a visitacao. Super contente
20,2023-09-26 17:27:36,2023-09-26 17:41:51,anonymous,,,D05_p014,7.0,6.0,8.0,6.0,7.0,8.0,8,4,1,1,8,8,1,7,6,5,7,5,7,1,1,1,3,1,3,1,4,7,Diversidade Cultural ;Biodiversidade;Recursos Naturais ;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,19-30 anos,Feminino,Branco,Não,,Não,Outro Estado do Brasil,Experiencia maravilhosa 
21,2023-09-26 17:26:13,2023-09-26 17:52:50,anonymous,,,D03.013,8.0,8.0,8.0,8.0,8.0,5.0,8,1,5,1,8,8,8,8,8,6,6,6,7,1,1,1,1,1,1,1,4,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;,Sim,,Sim,2 pessoas,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Não,Outro Estado do Brasil,Senti um pouco de náusea no cubo 3.
22,2023-09-26 17:25:38,2023-09-26 17:56:23,anonymous,,,D01.p0012,8.0,8.0,8.0,8.0,8.0,8.0,8,8,8,8,8,8,8,8,8,7,6,5,7,7,4,7,4,3,2,2,3,5,Recursos Naturais ;Diversidade Cultural ;,Sim,,Não,1 pessoa,Sim,Sim,19-30 anos,Masculino,Pardo,Não,,Não,Cidade do Rio,
