Duration,Time,Week Day
0:42:24,2023-09-26 22:08 GMT+3:30,Tuesday
0:08:16,2023-09-26 22:02 GMT+3:30,Tuesday
0:23:37,2023-09-26 21:54 GMT+3:30,Tuesday
0:09:15,2023-09-26 21:39 GMT+3:30,Tuesday
0:14:35,2023-09-26 21:38 GMT+3:30,Tuesday
0:22:10,2023-09-26 21:06 GMT+3:30,Tuesday
0:44:33,2023-09-26 21:01 GMT+3:30,Tuesday
0:33:24,2023-09-26 20:58 GMT+3:30,Tuesday
0:16:21,2023-09-26 20:41 GMT+3:30,Tuesday
0:09:43,2023-09-26 20:39 GMT+3:30,Tuesday
0:13:55,2023-09-26 20:34 GMT+3:30,Tuesday
0:04:57,2023-09-26 20:25 GMT+3:30,Tuesday
0:09:43,2023-09-26 20:06 GMT+3:30,Tuesday
0:18:58,2023-09-26 20:03 GMT+3:30,Tuesday
0:08:16,2023-09-26 19:47 GMT+3:30,Tuesday
0:05:12,2023-09-26 19:33 GMT+3:30,Tuesday
0:41:22,2023-09-26 19:32 GMT+3:30,Tuesday
0:07:59,2023-09-26 19:07 GMT+3:30,Tuesday
0:13:43,2023-09-26 18:41 GMT+3:30,Tuesday
0:47:30,2023-09-26 18:32 GMT+3:30,Tuesday
0:41:53,2023-09-26 18:27 GMT+3:30,Tuesday
0:08:27,2023-09-26 18:12 GMT+3:30,Tuesday
0:18:36,2023-09-26 18:06 GMT+3:30,Tuesday
0:18:29,2023-09-26 18:03 GMT+3:30,Tuesday
0:20:56,2023-09-26 17:45 GMT+3:30,Tuesday
0:22:58,2023-09-26 17:29 GMT+3:30,Tuesday
0:11:40,2023-09-26 17:27 GMT+3:30,Tuesday
0:25:56,2023-09-26 17:19 GMT+3:30,Tuesday
0:17:05,2023-09-26 17:02 GMT+3:30,Tuesday
0:19:53,2023-09-26 17:00 GMT+3:30,Tuesday
0:16:00,2023-09-26 16:58 GMT+3:30,Tuesday
0:17:19,2023-09-26 16:37 GMT+3:30,Tuesday
0:20:10,2023-09-26 16:34 GMT+3:30,Tuesday
0:30:40,2023-09-27 16:40 GMT+3:30,Wednesday
0:23:24,2023-09-27 16:40 GMT+3:30,Wednesday
0:10:37,2023-09-27 16:41 GMT+3:30,Wednesday
0:20:52,2023-09-27 16:41 GMT+3:30,Wednesday
0:21:14,2023-09-27 17:16 GMT+3:30,Wednesday
0:10:06,2023-09-27 17:18 GMT+3:30,Wednesday
0:32:29,2023-09-27 17:16 GMT+3:30,Wednesday
0:07:30,2023-09-27 17:18 GMT+3:30,Wednesday
0:12:48,2023-09-27 17:35 GMT+3:30,Wednesday
0:17:40,2023-09-27 17:53 GMT+3:30,Wednesday
0:21:26,2023-09-27 18:32 GMT+3:30,Wednesday
0:09:42,2023-09-27 18:04 GMT+3:30,Wednesday
0:12:40,2023-09-27 18:13 GMT+3:30,Wednesday
0:09:46,2023-09-27 19:34 GMT+3:30,Wednesday
0:33:04,2023-09-27 18:25 GMT+3:30,Wednesday
0:09:02,2023-09-27 18:33 GMT+3:30,Wednesday
0:07:29,2023-09-27 18:56 GMT+3:30,Wednesday
0:07:28,2023-09-27 19:06 GMT+3:30,Wednesday
0:36:44,2023-09-27 19:07 GMT+3:30,Wednesday
0:18:44,2023-09-27 20:05 GMT+3:30,Wednesday
0:05:49,2023-09-27 19:31 GMT+3:30,Wednesday
0:11:58,2023-09-27 19:48 GMT+3:30,Wednesday
0:15:25,2023-09-27 20:10 GMT+3:30,Wednesday
0:13:59,2023-09-27 21:43 GMT+3:30,Wednesday
0:27:37,2023-09-27 20:37 GMT+3:30,Wednesday
0:44:55,2023-09-27 20:34 GMT+3:30,Wednesday
0:27:29,2023-09-27 21:17 GMT+3:30,Wednesday
0:13:57,2023-09-27 21:43 GMT+3:30,Wednesday
1:31:08,2023-09-27 19:56 GMT+3:30,Wednesday
0:16:28,2023-09-27 21:54 GMT+3:30,Wednesday
0:10:46,2023-09-27 22:34 GMT+3:30,Wednesday
0:08:38,2023-09-27 22:11 GMT+3:30,Wednesday
0:05:28,2023-09-27 23:09 GMT+3:30,Wednesday
0:31:06,2023-09-27 23:24 GMT+3:30,Wednesday
0:05:12,2023-09-27 23:35 GMT+3:30,Wednesday
0:07:56,2023-09-27 23:41 GMT+3:30,Wednesday
0:26:49,2023-09-28 16:53 GMT+3:30,Thursday
0:22:35,2023-09-28 16:47 GMT+3:30,Thursday
0:36:58,2023-09-28 16:45 GMT+3:30,Thursday
0:19:10,2023-09-28 17:23 GMT+3:30,Thursday
0:32:38,2023-09-28 17:39 GMT+3:30,Thursday
0:13:56,2023-09-28 17:35 GMT+3:30,Thursday
0:16:21,2023-09-28 17:56 GMT+3:30,Thursday
0:14:10,2023-09-28 17:57 GMT+3:30,Thursday
0:17:21,2023-09-28 18:21 GMT+3:30,Thursday
0:10:22,2023-09-28 18:32 GMT+3:30,Thursday
0:21:58,2023-09-28 18:30 GMT+3:30,Thursday
0:13:51,2023-09-28 18:52 GMT+3:30,Thursday
0:13:17,2023-09-28 22:05 GMT+3:30,Thursday
0:10:48,2023-09-28 22:12 GMT+3:30,Thursday
0:06:36,2023-09-28 22:09 GMT+3:30,Thursday
0:14:59,2023-09-28 22:26 GMT+3:30,Thursday
0:20:37,2023-09-28 22:35 GMT+3:30,Thursday
0:05:21,2023-09-28 22:36 GMT+3:30,Thursday
0:11:33,2023-09-28 22:48 GMT+3:30,Thursday
0:14:17,2023-09-28 22:53 GMT+3:30,Thursday
0:19:54,2023-09-28 23:02 GMT+3:30,Thursday
0:08:34,2023-09-28 23:21 GMT+3:30,Thursday
0:08:48,2023-09-28 23:21 GMT+3:30,Thursday
0:14:02,2023-09-28 23:31 GMT+3:30,Thursday
0:10:03,2023-09-28 23:49 GMT+3:30,Thursday
0:11:51,2023-09-28 23:50 GMT+3:30,Thursday
0:08:35,2023-09-29 00:00 GMT+3:30,Thursday
0:20:54,2023-09-29 00:09 GMT+3:30,Thursday
0:19:52,2023-09-29 16:31 GMT+3:30,Friday
0:19:49,2023-09-29 16:29 GMT+3:30,Friday
0:03:45,2023-09-29 16:29 GMT+3:30,Friday
0:24:38,2023-09-29 16:53 GMT+3:30,Friday
0:15:57,2023-09-29 16:58 GMT+3:30,Friday
0:11:08,2023-09-29 17:11 GMT+3:30,Friday
0:27:18,2023-09-29 17:24 GMT+3:30,Friday
0:10:07,2023-09-29 17:28 GMT+3:30,Friday
0:10:20,2023-09-29 17:38 GMT+3:30,Friday
0:28:13,2023-09-29 17:49 GMT+3:30,Friday
0:07:46,2023-09-29 18:08 GMT+3:30,Friday
0:28:13,2023-09-29 18:10 GMT+3:30,Friday
0:42:14,2023-09-29 18:32 GMT+3:30,Friday
0:24:13,2023-09-29 19:04 GMT+3:30,Friday
0:17:13,2023-09-29 18:42 GMT+3:30,Friday
0:25:45,2023-09-29 19:11 GMT+3:30,Friday
0:20:32,2023-09-29 19:37 GMT+3:30,Friday
0:18:38,2023-09-29 19:48 GMT+3:30,Friday
0:34:06,2023-09-29 20:02 GMT+3:30,Friday
0:23:38,2023-09-29 20:07 GMT+3:30,Friday
0:04:22,2023-09-29 20:22 GMT+3:30,Friday
0:25:11,2023-09-29 20:40 GMT+3:30,Friday
0:50:15,2023-09-29 21:01 GMT+3:30,Friday
0:44:27,2023-09-29 21:05 GMT+3:30,Friday
0:17:54,2023-09-29 21:16 GMT+3:30,Friday
0:36:20,2023-09-29 21:49 GMT+3:30,Friday
0:13:28,2023-09-29 22:34 GMT+3:30,Friday
0:11:32,2023-09-29 22:45 GMT+3:30,Friday
0:13:02,2023-09-29 22:49 GMT+3:30,Friday
0:17:43,2023-09-29 22:56 GMT+3:30,Friday
0:11:52,2023-09-29 23:18 GMT+3:30,Friday
0:12:09,2023-09-30 16:35 GMT+3:30,Saturday
0:14:37,2023-09-30 16:36 GMT+3:30,Saturday
0:34:09,2023-09-30 17:12 GMT+3:30,Saturday
0:08:48,2023-09-30 18:07 GMT+3:30,Saturday
0:18:20,2023-09-30 18:12 GMT+3:30,Saturday
0:22:09,2023-09-30 18:11 GMT+3:30,Saturday
0:04:00,2023-09-30 18:25 GMT+3:30,Saturday
0:34:43,2023-09-30 18:40 GMT+3:30,Saturday
0:22:09,2023-09-30 18:11 GMT+3:30,Saturday
0:20:04,2023-09-30 18:49 GMT+3:30,Saturday
0:03:51,2023-09-30 18:45 GMT+3:30,Saturday
0:15:05,2023-09-30 18:55 GMT+3:30,Saturday
0:34:43,2023-09-30 18:40 GMT+3:30,Saturday
0:25:08,2023-09-30 19:18 GMT+3:30,Saturday
0:34:11,2023-09-30 20:52 GMT+3:30,Saturday
0:26:33,2023-09-30 20:52 GMT+3:30,Saturday
0:17:34,2023-09-30 20:56 GMT+3:30,Saturday
0:09:30,2023-09-30 21:18 GMT+3:30,Saturday
0:08:11,2023-09-30 21:29 GMT+3:30,Saturday
0:21:19,2023-09-30 21:40 GMT+3:30,Saturday
0:12:13,2023-09-30 21:38 GMT+3:30,Saturday
0:01:08,2023-09-30 22:20 GMT+3:30,Saturday
0:15:53,2023-09-30 22:13 GMT+3:30,Saturday
0:06:02,2023-09-30 22:43 GMT+3:30,Saturday
0:15:21,2023-09-30 22:43 GMT+3:30,Saturday
0:19:46,2023-09-30 22:35 GMT+3:30,Saturday
0:09:10,2023-09-30 22:49 GMT+3:30,Saturday
0:25:37,2023-09-30 23:07 GMT+3:30,Saturday
0:30:39,2023-09-30 23:11 GMT+3:30,Saturday
0:09:51,2023-09-30 23:13 GMT+3:30,Saturday
0:15:17,2023-09-30 23:36 GMT+3:30,Saturday
0:21:38,2023-09-30 23:53 GMT+3:30,Saturday
0:44:37,2023-10-01 16:37 GMT+3:30,Sunday
0:07:32,2023-10-01 16:34 GMT+3:30,Sunday
1:26:47,2023-10-01 16:36 GMT+3:30,Sunday
0:28:43,2023-10-01 16:51 GMT+3:30,Sunday
0:12:25,2023-10-01 17:35 GMT+3:30,Sunday
0:12:17,2023-10-01 17:36 GMT+3:30,Sunday
0:45:43,2023-10-01 17:55 GMT+3:30,Sunday
0:28:19,2023-10-01 18:04 GMT+3:30,Sunday
0:29:40,2023-10-01 18:18 GMT+3:30,Sunday
0:08:33,2023-10-01 18:40 GMT+3:30,Sunday
0:35:23,2023-10-01 18:52 GMT+3:30,Sunday
0:15:57,2023-10-01 19:03 GMT+3:30,Sunday
0:30:42,2023-10-01 19:00 GMT+3:30,Sunday
0:41:56,2023-10-01 20:58 GMT+3:30,Sunday
0:10:49,2023-10-01 20:50 GMT+3:30,Sunday
0:07:38,2023-10-01 20:48 GMT+3:30,Sunday
0:21:56,2023-10-01 21:05 GMT+3:30,Sunday
0:58:22,2023-10-01 21:11 GMT+3:30,Sunday
0:13:53,2023-10-01 21:34 GMT+3:30,Sunday
0:31:53,2023-10-01 21:56 GMT+3:30,Sunday
0:26:24,2023-10-01 21:57 GMT+3:30,Sunday
0:13:59,2023-10-01 22:29 GMT+3:30,Sunday
0:29:46,2023-10-01 22:44 GMT+3:30,Sunday
0:04:13,2023-10-01 22:57 GMT+3:30,Sunday
0:07:09,2023-10-01 23:04 GMT+3:30,Sunday
0:14:50,2023-10-01 23:16 GMT+3:30,Sunday
0:23:09,2023-10-01 23:42 GMT+3:30,Sunday
0:21:49,2023-10-01 23:19 GMT+3:30,Sunday
0:28:18,2023-10-01 23:28 GMT+3:30,Sunday
0:18:21,2023-10-01 23:46 GMT+3:30,Sunday
