Start time,ID,Matter Emotions,Life Emotions,Thought Emotions,Matter Learning,Life Learning,Thought Learning,Admiration,Confusion,Haunt,Disorientation,Amazement,Fascination,Amazing,Curiosity,Perplexity,"I felt a closer sense of identity, of who I am.",I felt a psychological connection to everyone/everything around me.,I felt a physical connection to everyone/everything around me.,Everything seemed to be connected.,I experienced a feeling of confinement.,I experienced a feeling of oppression.,I experienced a feeling of tension.,My heart was racing.,It took my breath away.,I felt chills.,I felt physically smaller.,"I felt trivial, in the grand scheme of things.",The world seemed vast.,What did you learn about during your visit?,Is this your first time visiting the Museum of Tomorrow?,"If not, how many times have you visited us previously?","Did you watch the movie Cosmos, projected onto the sphere?",How many people accompanied you on this visit?,Would you like to visit the museum again in the future?,Would you recommend the museum to your friends and family?,Age group,Gender,Race,Do you have any disabilities?,What disability do you have?,Do you have children? ,Where do you live?,Would you like to share something more about your visit or your experience today?,Cubes Emotion Mean,Cubes Learning Mean,Group
2023-09-26 16:11:42,D05-P001,4.0,4.0,3.0,3.0,5.0,4.0,5,3,4,3,3,3,4,5,2,3,2,4,3,4,2,2,3,2,1,1,1,2,Sustentabilidade;,Não,2,Sim,1 pessoa,Sim,Sim,19-30 anos,Feminino,Amarelo,Sim,Outra,Não,Cidade do Rio,,4.0,3.0,Control
2023-09-26 16:33:48,D03-P010,8.0,4.0,8.0,5.0,4.0,8.0,8,1,1,1,8,8,7,8,6,7,7,5,7,1,1,1,1,2,1,3,5,7,Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,1 pessoa,Sim,Sim,31-59 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,"Foi uma das experiencias mais incriveis que ja vivi
",8.0,5.0,Control
2023-09-26 17:00:56,D05-P010,6.0,8.0,8.0,5.0,7.0,8.0,8,1,1,1,8,8,7,8,8,7,7,5,7,5,1,1,1,1,5,7,5,7,Diversidade Cultural ;Biodiversidade;,Sim,,Sim,1 pessoa,Sim,Sim,19-30 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,Admirei muito a visitacao. Super contente,6.0,5.0,Control
2023-09-26 19:36:08,D04-P017,8.0,8.0,1.0,8.0,7.0,2.0,8,5,2,1,8,8,2,4,8,7,7,7,7,2,1,1,1,1,1,7,7,4,Biodiversidade;Diversidade Cultural ;,Sim,,Sim,Nenhuma,Sim,Talvez,19-30 anos,Feminino,Branco,Não,,Não,Outro País,,8.0,8.0,Control
2023-09-27 17:33:42,D03-P032,6.0,8.0,8.0,8.0,8.0,8.0,8,1,1,1,8,8,1,8,1,7,7,7,7,1,1,1,1,7,4,4,7,7,Biodiversidade;Recursos Naturais ;Sustentabilidade;Diversidade Cultural ;,Sim,,Não,Nenhuma,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Não,Outro País,Bellissima.,6.0,8.0,Control
2023-09-27 19:13:14,D01-P034,8.0,6.0,6.0,8.0,5.0,6.0,7,4,1,1,7,7,1,6,1,1,1,1,6,1,1,1,1,1,1,1,5,7,Diversidade Cultural ;,Sim,,Sim,1 pessoa,Sim,Sim,19-30 anos,Masculino,Branco,Não,,Não,Outro Estado do Brasil,,8.0,8.0,Control
2023-09-28 16:45:00,0,7.0,8.0,7.0,7.0,8.0,8.0,8,2,2,1,8,8,7,8,6,6,7,6,7,2,2,2,2,1,1,1,1,6,Biodiversidade;,Sim,,Sim,1 pessoa,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Não,Outro Estado do Brasil,,7.0,7.0,Control
2023-09-28 16:50:46,1,8.0,8.0,8.0,8.0,8.0,8.0,8,5,5,5,8,6,6,8,7,7,5,5,6,6,5,7,6,5,6,5,6,6,Diversidade Cultural ;,Sim,,Não,Nenhuma,Sim,Sim,Até 18 anos,Masculino,Indígena,Não,,Não,Outro Estado do Brasil,,8.0,8.0,Control
2023-09-28 17:00:36,2,6.0,6.0,6.0,6.0,6.0,6.0,7,5,2,4,7,6,5,8,4,5,5,5,5,7,4,3,1,1,1,5,5,5,Biodiversidade;Diversidade Cultural ;,Sim,,Não,1 pessoa,Talvez,Sim,31-59 anos,Feminino,Branco,Não,,Sim,Outro Estado do Brasil,,6.0,6.0,Control
2023-09-28 17:06:19,3,8.0,8.0,8.0,7.0,7.0,8.0,8,6,1,1,8,8,7,8,7,7,7,7,7,6,1,1,1,1,1,7,6,6,Biodiversidade;,Sim,,Não,3 ou mais pessoas,Sim,Sim,19-30 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,,8.0,7.0,Control
2023-09-28 17:12:45,4,7.0,5.0,8.0,3.0,5.0,8.0,7,2,7,2,8,8,5,5,5,5,6,5,4,3,3,1,1,1,1,6,7,7,Biodiversidade;Recursos Naturais ;Diversidade Cultural ;,Sim,,Não,1 pessoa,Sim,Sim,19-30 anos,Masculino,Pardo,Não,,Não,Outro País,,7.0,3.0,Control
2023-09-28 17:17:48,5,8.0,8.0,8.0,8.0,8.0,8.0,8,1,1,1,8,8,1,8,1,3,7,4,7,7,1,1,5,2,2,1,1,7,Diversidade Cultural ;,Sim,,Não,1 pessoa,Sim,Sim,19-30 anos,Masculino,Preto,Não,,Não,Outro Estado do Brasil,"Podia ter interprete de libras presencial. 
",8.0,8.0,Control
2023-09-28 17:21:30,6,7.0,7.0,6.0,4.0,6.0,8.0,8,7,7,1,8,8,4,8,1,7,5,5,4,2,1,1,2,1,1,1,3,6,Diversidade Cultural ;,Sim,,Não,1 pessoa,Sim,Sim,Mais de 60 anos,Masculino,Preto,Não,,Sim,Estado do Rio,,7.0,4.0,Control
2023-09-28 17:27:30,7,4.0,4.0,4.0,5.0,4.0,5.0,5,3,5,4,4,5,6,5,5,5,5,4,6,3,2,4,3,1,1,1,6,2,Biodiversidade;,Sim,,Não,Nenhuma,Sim,Sim,31-59 anos,Masculino,Branco,Não,,Sim,Outro Estado do Brasil,,4.0,5.0,Control
2023-09-28 17:31:27,8,8.0,7.0,8.0,8.0,8.0,8.0,8,5,8,5,8,8,4,8,8,5,5,7,7,3,2,3,5,3,5,1,5,3,Biodiversidade;Diversidade Cultural ;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,31-59 anos,Feminino,Pardo,Não,,Não,Outro País,HermosA,8.0,8.0,Control
2023-09-28 17:50:05,9,5.0,5.0,6.0,5.0,5.0,6.0,7,1,1,1,7,7,2,6,2,4,5,5,7,2,1,1,1,1,1,3,3,7,Diversidade Cultural ;Biodiversidade;Recursos Naturais ;,Sim,,Não,1 pessoa,Sim,Sim,19-30 anos,Feminino,Branco,Não,,Não,Outro Estado do Brasil,,5.0,5.0,Control
2023-09-28 17:58:44,10,4.0,4.0,4.0,6.0,5.0,4.0,6,2,2,4,5,5,4,6,4,4,6,6,5,4,2,5,3,1,1,1,3,6,Sustentabilidade;,Sim,,Não,1 pessoa,Sim,Sim,31-59 anos,Feminino,Indígena,Não,,Sim,Outro Estado do Brasil,,4.0,6.0,Control
2023-09-28 18:15:17,11,8.0,8.0,8.0,8.0,8.0,8.0,8,7,5,1,8,8,8,8,8,7,7,5,7,5,3,3,1,1,1,3,7,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Não,1 pessoa,Sim,Sim,31-59 anos,Feminino,Preto,Não,,Não,Outro Estado do Brasil,,8.0,8.0,Control
2023-09-28 18:26:00,12,8.0,8.0,8.0,8.0,8.0,8.0,8,2,4,2,7,7,7,7,7,6,7,6,6,4,1,1,3,1,1,4,5,7,Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,1 pessoa,Sim,Sim,19-30 anos,Masculino,Pardo,Não,,Não,Outro Estado do Brasil,,8.0,8.0,Control
2023-09-28 18:46:13,14,3.0,5.0,5.0,4.0,5.0,5.0,4,3,3,2,4,4,2,4,2,4,3,4,4,3,3,2,2,2,2,4,4,5,Biodiversidade;Diversidade Cultural ;Recursos Naturais ;Sustentabilidade;,Sim,,Não,1 pessoa,Sim,Sim,31-59 anos,Masculino,Pardo,Não,,Sim,Outro Estado do Brasil,,3.0,4.0,Control
2023-09-28 19:05:08,M1,8.0,6.0,6.0,6.0,6.0,6.0,7,7,7,7,8,8,7,8,8,6,6,6,7,1,1,1,1,1,1,6,7,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Sim,1 pessoa,Sim,Sim,31-59 anos,Masculino,Branco,Não,,Sim,Outro Estado do Brasil,,8.0,6.0,Control
2023-09-28 19:12:25,M2,4.0,4.0,4.0,3.0,3.0,3.0,4,7,4,7,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,Sustentabilidade;,Sim,,Não,Nenhuma,Sim,Sim,31-59 anos,Feminino,Amarelo,Não,,Sim,Outro Estado do Brasil,,4.0,3.0,Control
2023-09-28 19:05:20,S1,8.0,5.0,5.0,8.0,5.0,5.0,7,3,3,4,8,8,6,8,8,5,4,5,6,2,2,5,5,3,1,4,4,7,Recursos Naturais ;Diversidade Cultural ;Biodiversidade;Sustentabilidade;,Sim,,Sim,1 pessoa,Sim,Sim,Mais de 60 anos,Feminino,Pardo,Não,,Sim,Outro Estado do Brasil,Gostaria qué tivesse guias explicando,8.0,8.0,Control
2023-09-28 19:19:09,E1,6.0,8.0,8.0,4.0,8.0,8.0,8,1,1,1,8,7,1,5,1,7,7,7,7,1,1,1,1,1,1,2,5,7,Sustentabilidade;,Não,3 ou mais,Sim,1 pessoa,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Não,Cidade do Rio,,6.0,4.0,Control
