Start time,ID,Matter Emotions,Life Emotions,Thought Emotions,Matter Learning,Life Learning,Thought Learning,Admiration,Confusion,Haunt,Disorientation,Amazement,Fascination,Amazing,Curiosity,Perplexity,"I felt a closer sense of identity, of who I am.",I felt a psychological connection to everyone/everything around me.,I felt a physical connection to everyone/everything around me.,Everything seemed to be connected.,I experienced a feeling of confinement.,I experienced a feeling of oppression.,I experienced a feeling of tension.,My heart was racing.,It took my breath away.,I felt chills.,I felt physically smaller.,"I felt trivial, in the grand scheme of things.",The world seemed vast.,What did you learn about during your visit?,Is this your first time visiting the Museum of Tomorrow?,"If not, how many times have you visited us previously?","Did you watch the movie Cosmos, projected onto the sphere?",How many people accompanied you on this visit?,Would you like to visit the museum again in the future?,Would you recommend the museum to your friends and family?,Age group,Gender,Race,Do you have any disabilities?,What disability do you have?,Do you have children? ,Where do you live?,Would you like to share something more about your visit or your experience today?
2023-09-26 16:34:00,D03-P011,8.0,3.0,6.0,5.0,7.0,7.0,8,3,3,4,8,8,6,7,4,1,5,1,4,1,1,2,5,5,3,6,5,7,Diversidade Cultural ;,Sim,,Sim,1 pessoa,Sim,Sim,31-59 anos,Feminino,Pardo,Não,,Não,Outro Estado do Brasil,
2023-09-26 16:59:30,D03-P012,7.0,7.0,7.0,7.0,7.0,7.0,8,1,5,5,7,7,5,6,6,5,6,6,7,7,5,5,3,3,3,7,1,6,Sustentabilidade;Biodiversidade;Diversidade Cultural ;Recursos Naturais ;,Sim,,Não,2 pessoas,Sim,Sim,19-30 anos,Feminino,Pardo,Não,,Não,Cidade do Rio,Adorei a esperiencia 
2023-09-26 17:19:10,D05-P013,4.0,6.0,8.0,3.0,5.0,7.0,5,2,5,2,5,5,5,7,6,5,3,4,6,2,2,4,1,1,1,2,7,6,Diversidade Cultural ;,Não,1,Não,1 pessoa,Sim,Sim,31-59 anos,Masculino,Branco,Não,,Não,Cidade do Rio,
2023-09-26 17:27:36,D05-P014,7.0,6.0,8.0,6.0,7.0,8.0,8,4,1,1,8,8,1,7,6,5,7,5,7,1,1,1,3,1,3,1,4,7,Diversidade Cultural ;Biodiversidade;Recursos Naturais ;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,19-30 anos,Feminino,Branco,Não,,Não,Outro Estado do Brasil,Experiencia maravilhosa 
2023-09-26 17:26:13,D03-P013,8.0,8.0,8.0,8.0,8.0,5.0,8,1,5,1,8,8,8,8,8,6,6,6,7,1,1,1,1,1,1,1,4,7,Sustentabilidade;Biodiversidade;Diversidade Cultural ;,Sim,,Sim,2 pessoas,Sim,Sim,31-59 anos,Feminino,Branco,Não,,Não,Outro Estado do Brasil,Senti um pouco de náusea no cubo 3.
2023-09-26 17:25:38,D01-P012,8.0,8.0,8.0,8.0,8.0,8.0,8,8,8,8,8,8,8,8,8,7,6,5,7,7,4,7,4,3,2,2,3,5,Recursos Naturais ;Diversidade Cultural ;,Sim,,Não,1 pessoa,Sim,Sim,19-30 anos,Masculino,Pardo,Não,,Não,Cidade do Rio,
2023-09-26 17:42:13,D05-P015,8.0,8.0,8.0,8.0,8.0,8.0,8,5,6,6,8,8,8,8,8,3,4,4,7,1,1,5,6,5,1,7,1,7,Biodiversidade;Recursos Naturais ;Sustentabilidade;,Não,3 ou mais,Não,2 pessoas,Sim,Sim,19-30 anos,Masculino,Branco,Não,,Não,Cidade do Rio,
2023-09-26 18:20:30,D01-P013,7.0,7.0,8.0,8.0,8.0,8.0,7,7,7,7,7,7,7,7,7,6,5,5,6,7,6,6,5,5,5,6,5,7,Sustentabilidade;Recursos Naturais ;,Sim,,Sim,2 pessoas,Sim,Sim,31-59 anos,Masculino,Branco,Não,,Não,Outro Estado do Brasil,
2023-09-26 17:56:50,D03-P014,5.0,7.0,8.0,6.0,8.0,8.0,8,2,8,1,8,8,7,8,1,7,7,3,7,1,1,1,6,4,7,7,4,7,Diversidade Cultural ;Recursos Naturais ;Biodiversidade;,Sim,,Sim,2 pessoas,Sim,Sim,19-30 anos,Masculino,Branco,Não,,Não,Outro País,"Só vim acompanhar meu marido e não tinha expectativas, mas fiquei muito contente e impressionado. Dá para aprender muito. "
2023-09-26 18:29:53,D03-P015,4.0,8.0,8.0,5.0,7.0,7.0,8,1,3,1,4,7,2,8,5,6,7,2,5,1,4,5,1,1,1,1,2,7,Sustentabilidade;Diversidade Cultural ;,Sim,,Sim,3 ou mais pessoas,Sim,Sim,19-30 anos,Masculino,Pardo,Não,,Não,Cidade do Rio,
